"","x"
"1","BTC"
"2","CLIC5"
"3","CUEDC1"
"4","FOLR1"
"5","KCNQ1"
"6","KLHL30"
"7","KSR2"
"8","LXN"
"9","PCSK1N"
"10","PLEKHB1"
"11","PRICKLE4"
"12","SCGB2A1"
"13","SMAD6"
"14","SMPDL3B"
"15","SUSD2"
"16","TMEM125"
