"","x"
"1","AMOT"
"2","APLP2"
"3","ARHGAP29"
"4","ARHGEF17"
"5","ARSD"
"6","ATP11A"
"7","ATP9A"
"8","BANK1"
"9","BAZ2B"
"10","BHLHE41"
"11","BTC"
"12","CAPS"
"13","CASC1"
"14","CCDC148"
"15","CCDC149"
"16","CCDC40"
"17","CGNL1"
"18","CLDN3"
"19","CLIC5"
"20","CPAMD8"
"21","DNALI1"
"22","ENPP4"
"23","ENPP5"
"24","EPS8"
"25","ERP27"
"26","FAM174B"
"27","FAM63A"
"28","FAM81B"
"29","FBXL2"
"30","FOLR1"
"31","FUCA1"
"32","GLB1L"
"33","GLB1L2"
"34","INPPL1"
"35","IQCD"
"36","KCNK5"
"37","KCNQ1"
"38","KIAA0319L"
"39","KIAA0355"
"40","KL"
"41","KLHDC7A"
"42","KSR2"
"43","LTBP3"
"44","MACC1"
"45","MAML2"
"46","NR3C2"
"47","NSUN7"
"48","NXNL2"
"49","OSCP1"
"50","P4HTM"
"51","PARD3B"
"52","PARD6B"
"53","PCSK1N"
"54","PDE9A"
"55","PDGFD"
"56","PLEKHB1"
"57","PROM1"
"58","PRR15L"
"59","PTTG1IP"
"60","RAB17"
"61","RAI2"
"62","RBM47"
"63","RBMS2"
"64","SCGB2A1"
"65","SECISBP2L"
"66","SGMS2"
"67","SH3RF1"
"68","SHROOM3"
"69","SLC24A1"
"70","SMAD6"
"71","SMPDL3B"
"72","STK32A"
"73","SUSD2"
"74","SVIP"
"75","SYT13"
"76","TMC4"
"77","TMEM125"
"78","TMEM50B"
"79","TRAK2"
"80","UTRN"
"81","WFDC2"
"82","YPEL1"
"83","YPEL2"
"84","ZFHX3"
"85","ZNF135"
"86","ZNF701"
"87","ZNF763"
"88","ZNF827"
